"Order Number ","Reason"," Cancelled By ","Note"," Subtotal Price"," Shipping Cost"," Total Price ","Cancelled Date","Order Date",""
"Lvs29406","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة البديل الي بعتهولها","553","50","603","2024-10-15 10:43:23","2024-10-13 10:19:47",""
"Lvs29784","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","728","70","798","2024-10-15 10:33:52","2024-10-15 10:17:58",""
"Lvs29730","INVENTORY","Nermin ","ملغي مش عايزة البديل","210","50","260","2024-10-15 10:01:32","2024-10-14 18:50:09",""
"Lvs29813","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","375","50","425","2024-10-15 09:52:18","2024-10-15 10:18:05",""
"Lvs29716","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","800","50","850","2024-10-15 09:39:57","2024-10-14 18:50:03",""
"Lvs28640","INVENTORY","Noor","نواقص الاوردر اتأخر هيشترى من الفرع الرحاب","2672","50","2722","2024-10-15 09:31:17","2024-10-09 23:47:50",""
"Lvs29235","INVENTORY","Randa","طلب العميلة بالالغاء هتروح الفرع","5210","50","5260","2024-10-15 09:25:57","2024-10-12 18:49:00",""
"Lvs29530","INVENTORY","Randa","طلب العميلة بالالغاء","5059","50","5109","2024-10-15 09:04:27","2024-10-13 20:19:29",""
"Lvs29441","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","795","50","845","2024-10-15 08:46:16","2024-10-13 12:32:01",""
"Lvs29775","REPEATED_ORDER","Fatma","مملغي مكرر","450","50","500","2024-10-15 08:44:25","2024-10-15 10:17:58",""
"Lvs28002","INVENTORY","Randa","طلب العميلة بالالغاء اشترت من الفرع","7070","50","7120","2024-10-15 08:13:30","2024-10-07 23:47:59",""
"Lvs28496","INVENTORY","Nermin ","ملغي مش عايزة اي بدايل","1100","50","1150","2024-10-15 07:54:17","2024-10-09 14:03:23",""
"Lvs29547","INVENTORY","Randa","طلب العميلة بالالغاء","600","50","650","2024-10-15 07:44:42","2024-10-14 10:10:14",""
"Lvs29563","INVENTORY","Randa","طلب العميلة بالالغاء","476","50","526","2024-10-15 07:42:17","2024-10-14 10:10:22",""
"Lvs29631","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","75","70","145","2024-10-15 07:39:53","2024-10-14 10:10:28",""
"Lvs29412","INVENTORY","Randa","طلب العميلة بالالغاء","480","50","530","2024-10-15 07:39:51","2024-10-13 10:19:47",""
"Lvs29428","INVENTORY","Nermin ","ملغي نواقصالقطعة كانت اساسية بالنسبالها","455","50","505","2024-10-14 18:12:38","2024-10-13 10:19:47",""
"Lvs29431","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع لانه جانبها","760","50","810","2024-10-14 18:10:18","2024-10-13 12:32:00",""
"Lvs29450","INVENTORY","Nermin ","ملغي نواقص مش عايزة بدايل","1280","50","1330","2024-10-14 18:02:30","2024-10-13 12:44:56",""
"Lvs29443","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع لانه جانبها","830","50","880","2024-10-14 17:23:39","2024-10-13 12:32:01",""
"Lvs29575","INVENTORY","Nermin ","ملغي عايزة نفس الق","300","50","350","2024-10-14 16:53:44","2024-10-14 10:10:22",""
"Lvs29400","INVENTORY","Nermin ","ملغي مش عايزة بديل عايزة نفس الشيميز","553","50","603","2024-10-14 16:48:56","2024-10-13 10:19:47",""
"Lvs29442","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","290","50","340","2024-10-14 14:18:28","2024-10-13 12:32:01",""
"Lvs29560","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","360","50","410","2024-10-14 14:05:50","2024-10-14 10:10:22",""
"Lvs29437","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","470","50","520","2024-10-14 14:02:51","2024-10-13 12:32:00",""
"Lvs29440","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","450","85","535","2024-10-14 13:55:11","2024-10-13 12:32:01",""
"Lvs29420","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","210","50","260","2024-10-14 13:51:30","2024-10-14 16:47:41",""
"Lvs29253","INVENTORY","Nermin ","ملغي لعدم وجود القطع","970","50","1020","2024-10-14 13:51:02","2024-10-12 18:49:04",""
"Lvs29497","INVENTORY","Nermin ","ملغي لعدم وجود قطع","655","80","735","2024-10-14 13:45:23","2024-10-13 20:19:25",""
"Lvs29602","REPEATED_ORDER","Noor","طالبه اوردر تانى و اتشحن","375","50","425","2024-10-14 13:40:33","2024-10-14 16:20:05",""
"Lvs29239","INVENTORY","Nermin ","ملغي بعتلنها بديبل ومش عايزاه","285","80","365","2024-10-14 13:29:20","2024-10-12 18:49:00",""
"Lvs27195","INVENTORY","Nermin ","ملغي","192","50","242","2024-10-14 13:21:33","2024-10-06 10:10:36",""
"Lvs29425","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","320","50","370","2024-10-14 12:58:11","2024-10-13 10:19:47",""
"Lvs29432","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","640","50","690","2024-10-14 12:53:22","2024-10-13 12:32:00",""
"Lvs29543","REPEATED_ORDER","Nermin ","ملغي مكرر","801","50","851","2024-10-14 12:42:58","2024-10-14 10:10:14",""
"Lvs29526","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","325","50","375","2024-10-14 12:35:51","2024-10-13 20:19:29",""
"Lvs29644","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","724","50","774","2024-10-14 12:33:48","2024-10-14 10:10:28",""
"Lvs29338","INVENTORY","Nermin ","ملغي برغبتها","900","50","950","2024-10-14 12:16:08","2024-10-13 10:19:37",""
"Lvs28445","INVENTORY","Nermin ","ومش عايزة بدايلملغي برغبة العميلة","1641","50","1691","2024-10-14 12:14:49","2024-10-09 10:47:50",""
"Lvs29513","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","150","40","190","2024-10-14 12:09:31","2024-10-13 20:19:29",""
"Lvs28915","INVENTORY","Nermin ","ملغي هتشتري من الفرع","3024","70","3094","2024-10-14 12:09:09","2024-10-11 10:41:26",""
"Lvs29522","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","290","80","370","2024-10-14 11:48:48","2024-10-13 20:19:29",""
"Lvs29413","INVENTORY","Nermin ","ملغي مش عايبزة اللون البديل عايزة نفس اللون","290","50","340","2024-10-14 11:32:21","2024-10-13 10:19:47",""
"Lvs29492","CUSTOMER_REQUEST","Nermin ","مش معاها فلةس انها تسلتم دلوقتي فا هتعمل اوردر جديد الشهر الي جاي","1496","80","1576","2024-10-14 11:22:11","2024-10-13 20:19:25",""
"Lvs29622","INVENTORY","Nermin ","ملغي مش عايزة موديل تاني عايزة نفس الموديل اللي في الاوردر","650","50","700","2024-10-14 11:17:43","2024-10-14 10:10:28",""
"Lvs29642","INVENTORY","Noor","نواقص القطعة غير متاحة","600","50","650","2024-10-14 11:15:53","2024-10-14 10:10:28",""
"Lvs29507","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","375","85","460","2024-10-14 11:04:37","2024-10-13 20:19:29",""
"Lvs29508","INVENTORY","Noor","نواقص القطعة غير متاحة","520","50","570","2024-10-14 11:03:50","2024-10-13 20:19:29",""
"Lvs29506","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","290","80","370","2024-10-14 11:00:57","2024-10-13 20:19:29",""
"Lvs29488","INVENTORY","Nermin ","ملغي مش عايزة بديل","873","80","953","2024-10-14 10:56:27","2024-10-13 20:19:25",""
"Lvs29142","INVENTORY","Randa","طلب العميلة بالالغاء","336","50","386","2024-10-14 10:42:37","2024-10-12 09:55:52",""
"Lvs29475","INVENTORY","Noor","نواقص القطعة غير متاحة","210","50","260","2024-10-14 10:38:40","2024-10-13 20:19:25",""
"Lvs28670","REPEATED_ORDER","Samar","العميله طلبت الغاء الاوردر","1959","70","2029","2024-10-14 10:38:25","2024-10-09 23:47:55",""
"Lvs29267","INVENTORY","Nermin ","ملغي مش عايزة اي بدايل","872","80","952","2024-10-14 10:30:17","2024-10-13 10:19:31",""
"Lvs29474","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","656","80","736","2024-10-14 09:57:38","2024-10-13 20:19:25",""
"Lvs29478","INVENTORY","Nermin ","ملغي مش عايزة اي موديل تاني","392","50","442","2024-10-14 09:45:56","2024-10-13 20:19:25",""
"Lvs29402","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","290","50","340","2024-10-14 09:42:12","2024-10-13 10:19:47",""
"Lvs29466","INVENTORY","Samar","العميله طلبت الغاء الاوردر","290","50","340","2024-10-14 09:40:16","2024-10-13 20:19:25",""
"Lvs29452","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2478","70","2548","2024-10-14 09:33:45","2024-10-13 20:19:18",""
"Lvs29382","INVENTORY","Samar","العميله طلبت الغاء الاوردر","450","70","520","2024-10-14 09:33:04","2024-10-13 10:19:42",""
"Lvs29473","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","450","50","500","2024-10-14 09:33:03","2024-10-13 20:19:25",""
"Lvs29461","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","576","50","626","2024-10-14 09:32:01","2024-10-13 20:19:25",""
"Lvs29426","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","675","50","725","2024-10-14 09:31:30","2024-10-13 10:19:47",""
"Lvs29397","INVENTORY","Randa","طلب العميلة بالالغاء","257","50","307","2024-10-14 09:31:08","2024-10-13 10:19:47",""
"Lvs29368","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","470","50","520","2024-10-14 09:29:28","2024-10-13 10:19:42",""
"Lvs29390","INVENTORY","Noor","نواقص القطعة غير متاحة  و محتاجة الاوردر كامل","1160","50","1210","2024-10-14 09:14:40","2024-10-13 10:19:42",""
"Lvs29460","INVENTORY","Randa","طلب العميلة بالالغاء","576","50","626","2024-10-14 09:12:49","2024-10-13 20:19:25",""
"Lvs29365","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","360","50","410","2024-10-14 09:03:48","2024-10-13 10:19:42",""
"Lvs29173","INVENTORY","Nermin ","ملغي مش عايزة البدايل","1155","50","1205","2024-10-14 08:46:21","2024-10-12 10:45:08",""
"Lvs29238","INVENTORY","Noor","نواقص القطع غير متاحة","432","50","482","2024-10-14 08:45:14","2024-10-12 18:49:00",""
"Lvs29236","INVENTORY","Noor","نواقص القطع غير متاحة","682","75","757","2024-10-14 08:35:00","2024-10-12 18:49:00",""
"Lvs28990","INVENTORY","Nermin ","ملغيمش عايزة البدايل","1828","50","1878","2024-10-14 08:33:34","2024-10-11 16:45:41",""
"Lvs29257","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","280","50","330","2024-10-14 08:29:51","2024-10-12 18:49:04",""
"Lvs29325","INVENTORY","Nermin ","ملغي لانها عاملة الاولاردر علشان القطع دي","1885","50","1935","2024-10-14 08:22:38","2024-10-13 10:19:37",""
"Lvs29331","INVENTORY","Nermin ","ملغي مش عايزة بدايل","360","70","430","2024-10-14 08:20:11","2024-10-13 10:19:37",""
"Lvs28719","INVENTORY","Randa","القطعة غير متاحة و رقم الموبايل خطا و عدم وجود رد على الميل","220","170","390","2024-10-14 08:17:39","2024-10-10 08:42:36",""
"Lvs29263","INVENTORY","Nermin ","ملغي لان دول قطع اساية بالنسبالها","1342","50","1392","2024-10-14 08:15:40","2024-10-12 18:49:04",""
"Lvs29258","INVENTORY","Noor","نواقص القطع غير متاحة","784","70","854","2024-10-14 08:15:05","2024-10-12 18:49:04",""
"Lvs28713","INVENTORY","Randa","طلب العميلة بالالغاء","784","50","834","2024-10-14 07:58:02","2024-10-10 08:42:36",""
"Lvs28901","FAKE_ORDER","Samar","ملغي لعدم رد العميله علي الهاتف ومعندهاش واتساب","950","80","1030","2024-10-14 07:52:32","2024-10-11 10:41:26",""
"Lvs29260","INVENTORY","Noor","نواقص القطعة غير متاحة","290","70","360","2024-10-14 07:50:16","2024-10-12 18:49:04",""
"Lvs29288","INVENTORY","Randa","طلب العميلة بالالغاء","440","80","520","2024-10-14 07:46:28","2024-10-13 10:19:31",""
"Lvs29228","INVENTORY","Samar","العميله طلبت الغاء الاوردر","759","50","809","2024-10-14 07:46:04","2024-10-12 18:49:00",""
"Lvs29261","OTHER","Noor","طالبه اوردر تانى","400","40","440","2024-10-14 07:45:15","2024-10-12 18:49:04",""
"Lvs29248","INVENTORY","Randa","طلب العميلة بالالغاء","488","50","538","2024-10-14 07:34:55","2024-10-12 18:49:04",""
"Lvs28665","CUSTOMER_REQUEST","Noor","رغبة العميلة","544","50","594","2024-10-14 07:34:40","2024-10-09 23:47:55",""
"Lvs29319","INVENTORY","Randa","طلب العميلة بالالغاء","1050","50","1100","2024-10-14 07:28:04","2024-10-13 10:19:37",""
"Lvs29335","INVENTORY","Noor","نواقص القطعة غير متاحة","553","50","603","2024-10-14 07:22:06","2024-10-13 10:19:37",""
"Lvs29317","INVENTORY","Randa","طلب العميلة بالالغاء","420","40","460","2024-10-14 07:14:17","2024-10-13 10:19:37",""
"Lvs29246","INVENTORY","Randa","طلب العميلة بالالغاء","700","50","750","2024-10-14 07:03:56","2024-10-12 18:49:04",""
"Lvs28920","INVENTORY","Randa","طلب العميلة بالالغاء","434","70","504","2024-10-14 06:37:35","2024-10-11 10:41:26",""
"Lvs28763","OTHER","Mostafa","ملغي","905","50","955","2024-10-13 15:44:18","2024-10-10 12:44:42",""
"Lvs29327","INVENTORY","Noor","نواقص القطعة غير متاحة","960","50","1010","2024-10-13 14:29:57","2024-10-13 10:19:37",""
"Lvs29367","INVENTORY","Nermin ","ملغي مش عايزة بدايل","675","50","725","2024-10-13 14:23:52","2024-10-13 10:19:42",""
"Lvs29367","INVENTORY","Nermin ","ملغي مش عايزة بدايل","675","50","725","2024-10-13 14:23:51","2024-10-13 10:19:42",""
"Lvs29203","INVENTORY","Noor","نواقص القطع غير متاحة","636","70","706","2024-10-13 14:19:42","2024-10-12 18:49:00",""
"Lvs29210","INVENTORY","Noor","نواقص القطعة غير متاحة","290","50","340","2024-10-13 14:17:15","2024-10-12 18:49:00",""
"Lvs29323","INVENTORY","Nermin ","ملغي لعدم وجود القطع","655","80","735","2024-10-13 14:09:27","2024-10-13 10:19:37",""
"Lvs29009","CUSTOMER_REQUEST","Noor","طلبت اوردر تانى","540","50","590","2024-10-13 13:05:25","2024-10-13 11:57:36",""
"Lvs29311","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","686","80","766","2024-10-13 12:48:49","2024-10-13 10:19:37",""
"Lvs29354","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","500","50","550","2024-10-13 12:47:11","2024-10-13 10:19:42",""
"Lvs29166","CUSTOMER_REQUEST","Noor","رغبة العميلة","1517","50","1567","2024-10-13 12:41:52","2024-10-12 09:55:53",""
"Lvs29157","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","420","50","470","2024-10-13 12:36:33","2024-10-12 09:55:52",""
"Lvs29272","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","450","50","500","2024-10-13 12:35:47","2024-10-13 10:19:31",""
"Lvs29217","INVENTORY","Nermin ","ملغي لعدم وجود القطع","1267","70","1337","2024-10-13 12:20:19","2024-10-12 18:49:00",""
"Lvs29232","INVENTORY","Noor","نواقص القطعة غير متاحة","870","50","920","2024-10-13 12:19:54","2024-10-12 18:49:00",""
"Lvs29305","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","375","50","425","2024-10-13 11:59:11","2024-10-13 10:19:37",""
"Lvs29306","INVENTORY","Nermin ","ملغي  لعدم وجود القطعة","383","50","433","2024-10-13 11:51:27","2024-10-13 10:19:37",""
"Lvs29195","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من فرع المهندسيين","1453","50","1503","2024-10-13 11:41:49","2024-10-12 18:49:00",""
"Lvs29387","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","290","50","340","2024-10-13 11:33:28","2024-10-13 10:19:42",""
"Lvs28328","INVENTORY","Noor","نواقص القطعة غير متاحة","920","70","990","2024-10-13 11:00:50","2024-10-09 10:47:36",""
"Lvs29097","INVENTORY","Nermin ","ملغي لعدم وجود القطع","805","50","855","2024-10-13 10:55:11","2024-10-12 09:55:44",""
"Lvs29069","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","1310","80","1390","2024-10-13 10:54:23","2024-10-11 21:23:03",""
"Lvs29176","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","675","50","725","2024-10-13 10:47:14","2024-10-12 11:21:13",""
"Lvs29094","REPEATED_ORDER","Nermin ","ملغي مكرر","1814","70","1884","2024-10-13 10:42:04","2024-10-12 09:55:44",""
"Lvs29295","INVENTORY","Nermin ","ملغي مش عايزة بدايل","640","50","690","2024-10-13 09:56:32","2024-10-13 10:19:37",""
"Lvs29276","INVENTORY","Nermin ","ملغي مش عايزة البديل","220","50","270","2024-10-13 09:47:41","2024-10-13 10:19:31",""
"Lvs29290","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","375","50","425","2024-10-13 09:42:26","2024-10-13 10:19:31",""
"Lvs28677","BROUGHT_FROM_STORE","Noor","نواقص العميلة اشترت من فرع لوران","2535","70","2605","2024-10-13 09:07:32","2024-10-09 23:47:55",""
"Lvs29122","INVENTORY","Randa","طلب العميلة بالالغاء","1176","50","1226","2024-10-13 08:32:20","2024-10-12 09:55:52",""
"Lvs29042","INVENTORY","Randa","طلب العميلة بالالغاء","276","40","316","2024-10-13 08:29:16","2024-10-11 21:03:49",""
"Lvs28989","INVENTORY","Noor","نواقص القطعة غير متاحة","420","50","470","2024-10-13 08:01:51","2024-10-11 16:45:41",""
"Lvs29041","INVENTORY","Nermin ","ملغي مش عايزة بدايل","784","80","864","2024-10-13 07:37:44","2024-10-11 21:03:49",""
"Lvs29071","INVENTORY","Nermin ","ملغي لان القطعة اساسية بالنسبالها في الاوردر","615","50","665","2024-10-13 07:25:54","2024-10-11 21:23:03",""
"Lvs28821","INVENTORY","Randa","طلب العميلة بالالغاء","2100","50","2150","2024-10-13 07:08:14","2024-10-10 17:08:49",""
"Lvs28974","OTHER","Mostafa","0","1493","50","1543","2024-10-12 15:30:05","2024-10-11 13:26:39",""
"Lvs29073","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","290","50","340","2024-10-12 15:00:09","2024-10-12 09:55:44",""
"Lvs28923","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","515","50","565","2024-10-12 14:32:24","2024-10-11 10:41:26",""
"Lvs28968","BROUGHT_FROM_STORE","Nermin ","28968","950","50","1000","2024-10-12 14:26:18","2024-10-11 13:26:39",""
"Lvs28975","INVENTORY","Noor","نواقص هتشترى من الفرع","1195","50","1245","2024-10-12 14:22:23","2024-10-11 13:26:39",""
"Lvs29101","INVENTORY","Nermin ","ملغي لعدم وجود القطع","576","50","626","2024-10-12 14:21:34","2024-10-12 09:55:44",""
"Lvs28928","INVENTORY","Noor","نواقص محتاجه الاوردر كامل و هتشترى من فرع الزقازيق","760","80","840","2024-10-12 14:15:40","2024-10-11 10:41:26",""
"Lvs28656","INVENTORY","Nermin ","ملغي لعدم وجود القطع","300","50","350","2024-10-12 14:13:17","2024-10-09 23:47:55",""
"Lvs28895","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","3280","70","3350","2024-10-12 14:11:51","2024-10-11 10:41:20",""
"Lvs28873","INVENTORY","Nermin ","ملغي لعدم وجود القطع","440","50","490","2024-10-12 13:52:10","2024-10-11 10:41:20",""
"Lvs29076","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","160","40","200","2024-10-12 13:08:45","2024-10-12 09:55:44",""
"Lvs28927","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","560","1434","1994","2024-10-12 13:01:46","2024-10-11 10:41:26",""
"Lvs29055","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","460","50","510","2024-10-12 12:36:39","2024-10-11 21:03:49",""
"Lvs29021","INVENTORY","Noor","نواقص القطعة غير متاحة","525","50","575","2024-10-12 12:28:12","2024-10-11 16:45:41",""
"Lvs29090","INVENTORY","Nermin ","ملغي لعدم  وجود القطعة","1360","50","1410","2024-10-12 12:06:59","2024-10-12 09:55:44",""
"Lvs28599","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2867","50","2917","2024-10-12 11:40:36","2024-10-11 11:19:10",""
"Lvs28796","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","325","50","375","2024-10-12 11:36:03","2024-10-10 17:08:49",""
"Lvs29063","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","325","50","375","2024-10-12 11:27:51","2024-10-11 21:03:49",""
"Lvs29060","INVENTORY","Noor","نواقص القطعة غير متاحة","385","50","435","2024-10-12 11:14:49","2024-10-11 21:03:49",""
"Lvs29012","INVENTORY","Nermin ","ملغي لعدم وجود القطع","1866","50","1916","2024-10-12 11:14:05","2024-10-11 16:45:41",""
"Lvs28546","INVENTORY","Noor","نواقص القطعة غير متاحة","144","50","194","2024-10-12 11:12:48","2024-10-09 14:03:29",""
"Lvs29039","INVENTORY","Noor","نواقص القطعة غير متاحة","553","50","603","2024-10-12 11:10:26","2024-10-11 21:03:49",""
"Lvs29082","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","480","50","530","2024-10-12 11:09:40","2024-10-12 09:55:44",""
"Lvs29033","INVENTORY","Noor","نواقص محتاجة الاوردر كامل","943","80","1023","2024-10-12 11:08:14","2024-10-11 21:03:49",""
"Lvs29136","INVENTORY","Nermin ","ملغي هتشتري من الفرع","210","50","260","2024-10-12 11:05:51","2024-10-12 09:55:52",""
"Lvs29030","INVENTORY","Noor","نواقص القطعة غير متاحة","395","50","445","2024-10-12 10:56:14","2024-10-11 21:03:49",""
"Lvs29022","OTHER","Noor","اوردر مكرر","525","50","575","2024-10-12 10:52:23","2024-10-11 16:45:41",""
"Lvs28834","OTHER","Mostafa","0","460","50","510","2024-10-12 10:51:13","2024-10-10 17:37:32",""
"Lvs28843","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","884","50","934","2024-10-12 10:45:45","2024-10-10 20:30:42",""
"Lvs28271","INVENTORY","Noor","نواقص القطع غير متاحة","1040","80","1120","2024-10-12 10:36:33","2024-10-08 18:23:13",""
"Lvs28831","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","430","50","480","2024-10-12 10:33:46","2024-10-10 17:37:32",""
"Lvs27953","INVENTORY","Samar","العميله طلبت الغاء الاوردر","1290","50","1340","2024-10-12 10:31:58","2024-10-07 23:47:53",""
"Lvs28753","INVENTORY","Samar","العميله طلبت الغاء الاوردر","130","50","180","2024-10-12 10:23:48","2024-10-10 12:44:42",""
"Lvs28886","INVENTORY","Nermin ","ملغي مش عايزة بديل كانت عايزاه علي بعض","770","80","850","2024-10-12 10:20:45","2024-10-11 10:41:20",""
"Lvs28589","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","500","70","570","2024-10-12 09:57:55","2024-10-09 17:49:36",""
"Lvs28851","INVENTORY","Noor","نواقص محتاجه الاوردر كامل","1453","50","1503","2024-10-12 09:36:45","2024-10-10 20:30:42",""
"Lvs28542","INVENTORY","Nermin ","ملغي  لعدم وجود القطعة","325","50","375","2024-10-12 09:33:27","2024-10-09 14:03:29",""
"Lvs28910","INVENTORY","Nermin ","ملغي مش عايزة بدايل","553","50","603","2024-10-12 09:31:08","2024-10-11 10:41:26",""
"Lvs28221","INVENTORY","Nermin ","ملغي لعدم وجود رد","1144","50","1194","2024-10-12 09:29:30","2024-10-08 18:23:08",""
"Lvs28221","INVENTORY","Nermin ","ملغي لعدم وجود رد","1144","50","1194","2024-10-12 09:29:29","2024-10-08 18:23:08",""
"Lvs28323","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","600","80","680","2024-10-12 09:28:07","2024-10-09 10:47:36",""
"Lvs28950","INVENTORY","Samar","العميله طلبت الغاء الاوردر","600","40","640","2024-10-12 09:27:52","2024-10-11 10:41:26",""
"Lvs27194","INVENTORY","Randa","القطعة غير متاحة","600","80","680","2024-10-12 09:21:12","2024-10-06 10:10:36",""
"Lvs28752","INVENTORY","Samar","العميله طلبت الغاء الاوردر","826","50","876","2024-10-12 09:21:06","2024-10-10 12:44:38",""
"Lvs28971","INVENTORY","Noor","نواقص القطع غير متاحة","1200","50","1250","2024-10-12 09:20:11","2024-10-11 13:26:39",""
"Lvs28811","INVENTORY","Nermin ","ملغي مش عايزة بدايل","553","50","603","2024-10-12 09:18:33","2024-10-10 17:08:49",""
"Lvs28297","INVENTORY","Noor","نواقص القطع غير متاحة","574","50","624","2024-10-12 09:15:23","2024-10-08 18:23:13",""
"Lvs28316","INVENTORY","Noor","نواقص القطعة غير متاحة","805","50","855","2024-10-12 09:11:56","2024-10-09 10:47:36",""
"Lvs28896","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","3480","70","3550","2024-10-12 09:02:18","2024-10-11 10:41:20",""
"Lvs28183","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","450","50","500","2024-10-12 09:01:56","2024-10-08 18:23:01",""
"Lvs28816","INVENTORY","Nermin ","ملغي لانها كانت عمله الاوردرعلشان القطعتين دول","1284","50","1334","2024-10-12 08:51:57","2024-10-10 17:08:49",""
"Lvs28231","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2931","50","2981","2024-10-12 08:51:45","2024-10-08 18:23:08",""
"Lvs28977","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","310","70","380","2024-10-12 08:51:17","2024-10-11 13:26:39",""
"Lvs28966","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميل","845","70","915","2024-10-12 08:46:38","2024-10-11 13:26:39",""
"Lvs27139","INVENTORY","Samar","العميله طلبت الغاء الاوردر","2430","50","2480","2024-10-12 08:45:19","2024-10-05 21:30:29",""
"Lvs29100","INVENTORY","Nermin ","ملغي مكرر","1918","70","1988","2024-10-12 08:45:00","2024-10-12 09:55:44",""
"Lvs29126","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","525","75","600","2024-10-12 08:34:44","2024-10-12 09:55:52",""
"Lvs28805","INVENTORY","Nermin ","ملغي لعدم وجود رد","390","50","440","2024-10-12 08:32:27","2024-10-10 17:08:49",""
"Lvs28799","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","805","50","855","2024-10-12 08:22:04","2024-10-10 17:08:49",""
"Lvs28584","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2516","40","2556","2024-10-12 08:20:26","2024-10-09 17:49:36",""
"Lvs28760","INVENTORY","Samar","العميله طلبت الغاء الاوردر","480","70","550","2024-10-12 08:17:02","2024-10-10 12:44:42",""
"Lvs28337","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","330","50","380","2024-10-12 08:15:21","2024-10-09 10:47:36",""
"Lvs27938","FAKE_ORDER","Samar","ملغي لعدم رد العميل","300","50","350","2024-10-12 08:10:01","2024-10-07 23:47:44",""
"Lvs28491","INVENTORY","Nermin ","ملغي لعدم وجود القطع","750","50","800","2024-10-12 08:09:31","2024-10-09 14:03:23",""
"Lvs28680","INVENTORY","Samar","العميله طلبت الغاء الاوردر","392","50","442","2024-10-12 07:58:39","2024-10-09 23:47:55",""
"Lvs28943","INVENTORY","Randa","طلب العميلة بالالغاء","720","50","770","2024-10-12 07:57:31","2024-10-11 10:41:26",""
