"Order Number ","Reason"," Cancelled By ","Note ","Cancelled Date","Order Date",""
"Lvs32713","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-30 12:37:00","2024-10-30T03:53:55+03:00",""
"Lvs32755","INVENTORY","Nermin ","ملغي لانه دا كان القطعة الاساسية في اوردرها","2024-10-30 12:31:51","2024-10-30T12:30:39+03:00",""
"Lvs32704","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-30 12:20:47","2024-10-30T01:51:23+03:00",""
"Lvs32729","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-30 12:19:48","2024-10-30T07:42:41+03:00",""
"Lvs32629","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-30 12:04:14","2024-10-29T15:43:26+03:00",""
"Lvs32709","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-30 11:24:34","2024-10-30T02:58:31+03:00",""
"Lvs32653","REPEATED_ORDER","Randa","طلب العميلة بالالغاء","2024-10-30 11:15:35","2024-10-29T17:58:38+03:00",""
"Lvs32657","INVENTORY","Nermin ","ملغي مش عايزة البديل","2024-10-30 11:08:53","2024-10-29T18:10:45+03:00",""
"Lvs32502","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2024-10-30 11:03:26","2024-10-28T22:05:56+03:00",""
"Lvs32555","INVENTORY","Nermin ","ملغي برغبة العميلة","2024-10-30 10:59:39","2024-10-29T05:05:30+03:00",""
"Lvs32462","INVENTORY","Nermin ","ملغي مش عايزة البدايل","2024-10-30 10:48:44","2024-10-28T18:35:56+03:00",""
"Lvs32577","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-30 10:00:25","2024-10-29T09:44:13+03:00",""
"Lvs32654","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-30 09:42:39","2024-10-29T18:02:11+03:00",""
"Lvs32545","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-30 08:48:37","2024-10-29T03:03:01+03:00",""
"Lvs32496","INVENTORY","Nermin ","32496","2024-10-30 08:20:45","2024-10-28T21:15:48+03:00",""
"Lvs32544","INVENTORY","Nermin ","ملغي المقاس مش مناسب معاها","2024-10-30 07:46:21","2024-10-29T02:49:21+03:00",""
"Lvs32321","OTHER","Nermin ","ملغي لعدم وجود رد","2024-10-30 07:13:09","2024-10-28T03:42:55+03:00",""
"Lvs32579","INVENTORY","Nermin ","ملغي برغبة العميلة","2024-10-30 06:53:45","2024-10-29T10:26:20+03:00",""
"Lvs32575","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2024-10-29 14:29:45","2024-10-29T09:26:21+03:00",""
"Lvs32575","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2024-10-29 14:29:43","2024-10-29T09:26:21+03:00",""
"Lvs32467","CUSTOMER_REQUEST","Nermin ","ملغي لعدم وجود القطعة","2024-10-29 14:14:37","2024-10-28T18:51:44+03:00",""
"Lvs32299","OTHER","Nermin ","ملغي لعدم وجود رد","2024-10-29 13:48:57","2024-10-28T00:44:39+03:00",""
"Lvs32326","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-10-29 13:40:01","2024-10-28T04:40:18+03:00",""
"Lvs32540","INVENTORY","Randa","طلب العميلة بالالغاء","2024-10-29 13:34:05","2024-10-29T02:09:43+03:00",""
"Lvs32504","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-10-29 12:40:44","2024-10-28T22:15:13+03:00",""
"Lvs32571","INVENTORY","Nermin ","ملغي لعدم وجود القطع","2024-10-29 12:28:48","2024-10-29T08:51:55+03:00",""
"Lvs32567","INVENTORY","Randa","طلب العميلة بالالغاء","2024-10-29 12:03:56","2024-10-29T08:19:48+03:00",""
"Lvs32557","INVENTORY","Randa","طلب العميلة بالالغاء","2024-10-29 12:01:18","2024-10-29T06:21:44+03:00",""
"Lvs32451","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-29 11:53:49","2024-10-28T17:55:56+03:00",""
"Lvs32505","OTHER","Mostafa","ملغي","2024-10-29 11:51:28","2024-10-28T22:29:36+03:00",""
"Lvs32608","INVENTORY","Nermin ","مملغي كانت عايزة نفس اللون","2024-10-29 11:50:59","2024-10-29T13:40:24+03:00",""
"Lvs32082","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-29 11:42:15","2024-10-26T13:26:40+03:00",""
"Lvs31939","INVENTORY","Nermin ","ملغي لعدم وجود القطع","2024-10-29 11:19:20","2024-10-25T16:44:07+03:00",""
"Lvs32471","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-10-29 11:10:46","2024-10-28T19:16:45+03:00",""
"Lvs32493","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة تختار بدايل","2024-10-29 11:01:46","2024-10-28T21:09:11+03:00",""
"Lvs32476","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-29 10:49:01","2024-10-28T19:42:44+03:00",""
"Lvs32435","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-29 09:56:31","2024-10-28T17:14:55+03:00",""
"Lvs32463","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-29 09:52:10","2024-10-28T18:38:49+03:00",""
"Lvs32301","INVENTORY","Nermin ","ملغي المقاسات البديلة مش مناسبة معاها","2024-10-29 09:48:47","2024-10-28T00:46:01+03:00",""
"Lvs32445","INVENTORY","Nermin ","ملغي لعدم وجود القطع","2024-10-29 09:33:10","2024-10-28T17:41:02+03:00",""
"Lvs32235","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-10-29 09:26:27","2024-10-27T17:45:47+03:00",""
"Lvs32580","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-29 08:55:48","2024-10-29T10:33:17+03:00",""
"Lvs32446","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-29 08:51:28","2024-10-28T17:42:42+03:00",""
"Lvs32438","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-29 08:46:17","2024-10-28T17:18:53+03:00",""
"Lvs32420","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-29 08:30:48","2024-10-28T16:07:25+03:00",""
"Lvs32495","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-29 08:01:55","2024-10-28T21:11:17+03:00",""
"Lvs32432","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-29 07:49:04","2024-10-28T17:01:09+03:00",""
"Lvs32562","CUSTOMER_REQUEST","Fatma","ملغي  من  خلال الميل","2024-10-29 07:39:25","2024-10-29T08:05:32+03:00",""
"Lvs32424","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-29 07:01:01","2024-10-28T16:21:21+03:00",""
"Lvs32202","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-28 14:11:11","2024-10-27T13:48:49+03:00",""
"Lvs32254","INVENTORY","Nermin ","ملغي برغبة العميلة","2024-10-28 13:46:10","2024-10-27T19:34:32+03:00",""
"Lvs32374","INVENTORY","Nermin ","ملغي هتعنل اوردر تاني","2024-10-28 13:31:00","2024-10-28T12:36:38+03:00",""
"Lvs32258","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-28 13:26:38","2024-10-27T19:42:01+03:00",""
"Lvs32231","INVENTORY","Nermin ","دي كانت اساسية بالنسبالهاملغي","2024-10-28 12:51:03","2024-10-27T17:17:44+03:00",""
"Lvs32273","INVENTORY","Nermin ","ملغي لان ه كان قطعة اساسية بالنسبالها","2024-10-28 12:27:50","2024-10-27T21:42:16+03:00",""
"Lvs32163","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-28 12:04:37","2024-10-27T00:54:37+03:00",""
"Lvs32322","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-28 11:35:24","2024-10-28T03:56:51+03:00",""
"Lvs32278","CUSTOMER_REQUEST","Nermin ","ملغي لعدم وجود القطع","2024-10-28 11:19:27","2024-10-27T22:01:44+03:00",""
"Lvs32304","CUSTOMER_REQUEST","Noor","رغبة العميلة","2024-10-28 10:48:39","2024-10-28T01:08:43+03:00",""
"Lvs32335","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","2024-10-28 10:38:32","2024-10-28T07:08:36+03:00",""
"Lvs32338","INVENTORY","Nermin ","ملغي مش عايزة تشحن بقطعة واحدة فقط","2024-10-28 08:46:57","2024-10-28T07:41:31+03:00",""
"Lvs32233","INVENTORY","Nermin ","ملغي مش عايزة بديل","2024-10-28 08:45:02","2024-10-27T17:30:55+03:00",""
"Lvs32147","INVENTORY","Nermin ","ملغي هتعمل اوردر جديد لما يتوفر مرة تانية","2024-10-28 08:39:49","2024-10-26T21:36:01+03:00",""
"Lvs32242","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","2024-10-28 08:24:26","2024-10-27T18:09:37+03:00",""
"Lvs32154","INVENTORY","Nermin ","ملغي  هتستني لما يتوفروا مرة تانية وهتعمل اوردر جديد","2024-10-28 08:16:07","2024-10-26T23:31:02+03:00",""
"Lvs32213","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-28 07:52:44","2024-10-27T14:59:43+03:00",""
"Lvs32088","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-28 07:50:41","2024-10-26T13:54:21+03:00",""
"Lvs32250","CUSTOMER_REQUEST","Noor","رغبة العميلة","2024-10-28 07:34:42","2024-10-27T18:58:24+03:00",""
"Lvs32115","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-28 07:12:00","2024-10-26T17:02:56+03:00",""
"Lvs32126","INVENTORY","Nermin ","ملغي كانت عايزة الاوردر كله كامل","2024-10-28 07:03:18","2024-10-26T18:00:53+03:00",""
"Lvs32111","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-27 14:54:51","2024-10-26T16:24:00+03:00",""
"Lvs32212","CUSTOMER_REQUEST","Nermin ","32212","2024-10-27 14:25:40","2024-10-27T14:57:04+03:00",""
"Lvs32136","INVENTORY","Nermin ","ملغي لعدم وجود الرد","2024-10-27 13:45:55","2024-10-26T19:29:48+03:00",""
"Lvs32056","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-27 13:05:36","2024-10-26T10:13:18+03:00",""
"Lvs32026","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-27 12:46:54","2024-10-26T00:05:30+03:00",""
"Lvs32122","INVENTORY","Nermin ","ملغي مش عايزة بديل","2024-10-27 11:58:09","2024-10-26T17:31:55+03:00",""
"Lvs31955","CUSTOMER_REQUEST","Nermin ","ملغي برغينها","2024-10-27 11:13:45","2024-10-25T17:49:01+03:00",""
"Lvs31950","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-27 10:58:23","2024-10-25T17:32:03+03:00",""
"Lvs32003","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-10-27 10:33:36","2024-10-25T22:16:50+03:00",""
"Lvs31945","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2024-10-27 10:11:56","2024-10-25T17:18:58+03:00",""
"Lvs32034","INVENTORY","Nermin ","ملغي لعدم وجود القطع","2024-10-27 09:55:39","2024-10-26T00:58:20+03:00",""
"Lvs32178","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء هتشتري من الفرع","2024-10-27 09:42:29","2024-10-27T07:26:25+03:00",""
"Lvs32098","INVENTORY","Nermin ","ملغي لعدم وجود القطع","2024-10-27 09:26:17","2024-10-26T14:34:11+03:00",""
"Lvs32141","INVENTORY","Nermin ","ملغي لعدم وجود القطع","2024-10-27 09:22:31","2024-10-26T20:47:56+03:00",""
"Lvs31804","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر و هتشترى من الفرع","2024-10-27 08:37:07","2024-10-24T20:16:21+03:00",""
"Lvs31916","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-27 08:20:51","2024-10-25T13:05:06+03:00",""
"Lvs31997","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-27 08:19:11","2024-10-25T21:34:39+03:00",""
"Lvs31588","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-27 08:10:34","2024-10-23T18:19:34+03:00",""
"Lvs32072","INVENTORY","Nermin ","ملغي برغبة العميلة","2024-10-27 06:28:55","2024-10-26T12:01:19+03:00",""
"Lvs31840","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-10-26 14:38:50","2024-10-24T22:19:30+03:00",""
"Lvs31874","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-10-26 14:29:21","2024-10-25T02:58:01+03:00",""
"Lvs31980","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-10-26 14:10:41","2024-10-25T19:55:37+03:00",""
"Lvs31990","INVENTORY","Nermin ","ملغي مش عايزة البديل","2024-10-26 14:02:15","2024-10-25T21:03:13+03:00",""
"Lvs31866","INVENTORY","Noor","نواقص القطعة غير متاحة","2024-10-26 13:45:51","2024-10-25T01:28:56+03:00",""
"Lvs31985","INVENTORY","Nermin ","مش عايزة البديل","2024-10-26 13:35:46","2024-10-25T20:48:59+03:00",""
"Lvs31977","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-26 12:51:14","2024-10-25T19:33:51+03:00",""
"Lvs31905","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-26 12:32:35","2024-10-25T12:16:12+03:00",""
"Lvs31853","INVENTORY","Nermin ","ملغي لانها مستعجلة علي الاوردر","2024-10-26 12:19:07","2024-10-24T23:20:56+03:00",""
"Lvs31854","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-26 12:07:42","2024-10-24T23:35:07+03:00",""
"Lvs31940","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-26 11:28:37","2024-10-25T16:44:16+03:00",""
"Lvs31795","CUSTOMER_REQUEST","Yara","طلب العميلة","2024-10-26 10:51:22","2024-10-24T19:32:11+03:00",""
"Lvs31830","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-26 09:50:44","2024-10-24T21:39:56+03:00",""
"Lvs31785","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-26 09:50:09","2024-10-24T18:34:36+03:00",""
"Lvs31547","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-26 09:14:31","2024-10-23T13:54:22+03:00",""
"Lvs31660","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-26 09:12:03","2024-10-24T06:20:55+03:00",""
"Lvs31759","INVENTORY","Noor","نواقص هتشترى من الفرع","2024-10-26 09:09:30","2024-10-24T16:02:21+03:00",""
"Lvs31767","INVENTORY","Nermin ","ملغي لعدم وجودالقطعة ومش عايزة البدايل","2024-10-26 08:49:36","2024-10-24T16:57:48+03:00",""
"Lvs31686","INVENTORY","Noor","نواقص القطعة غير متاحة","2024-10-26 08:49:26","2024-10-24T09:45:33+03:00",""
"Lvs31352","INVENTORY","Noor","نواقص ملغى لعدم رد العميلة","2024-10-26 08:25:46","2024-10-22T15:25:56+03:00",""
"Lvs31855","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الايميل","2024-10-26 07:57:22","2024-10-24T23:49:18+03:00",""
"Lvs31542","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-26 07:56:50","2024-10-23T13:00:14+03:00",""
"Lvs31867","CUSTOMER_REQUEST","Noor","رغبة العميلة بلغت بى الالغاء على الايميل","2024-10-26 07:53:05","2024-10-25T01:33:34+03:00",""
"Lvs31673","CUSTOMER_REQUEST","Noor","رغبة العميلة  طلبت الالغاء على الايميل","2024-10-26 07:25:40","2024-10-24T08:00:51+03:00",""
"Lvs31734","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","2024-10-24 17:37:58","2024-10-24T13:32:15+03:00",""
"Lvs31730","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-24 17:31:34","2024-10-24T13:30:40+03:00",""
"Lvs31752","INVENTORY","Nermin ","ملغي نواقص مش عايزة بدايل","2024-10-24 17:29:02","2024-10-24T15:22:59+03:00",""
"Lvs31665","INVENTORY","Nermin ","ملغي مش عايزة بديل","2024-10-24 17:14:29","2024-10-24T07:03:09+03:00",""
"Lvs31726","REPEATED_ORDER","Nermin ","ملغي مكرر","2024-10-24 17:09:00","2024-10-24T13:07:46+03:00",""
"Lvs31710","INVENTORY","Nermin ","ملغي برغبتها وهتعمل اوردر جديد","2024-10-24 17:00:57","2024-10-24T11:56:17+03:00",""
"Lvs31550","CUSTOMER_REQUEST","Nermin ","ملغي برغبتها","2024-10-24 16:58:06","2024-10-23T14:03:05+03:00",""
"Lvs31668","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2024-10-24 13:59:27","2024-10-24T07:27:03+03:00",""
"Lvs31722","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-24 13:38:48","2024-10-24T12:41:29+03:00",""
"Lvs31592","CUSTOMER_REQUEST","Fatma","ملغي  برغبه  العميله","2024-10-24 13:29:57","2024-10-23T19:02:35+03:00",""
"Lvs31587","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","2024-10-24 12:18:19","2024-10-23T18:03:07+03:00",""
"Lvs31640","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-24 11:18:56","2024-10-24T02:03:17+03:00",""
"Lvs31608","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-24 11:12:49","2024-10-23T21:30:01+03:00",""
"Lvs31037","INVENTORY","Nermin ","ملغي مش عايزة بديل","2024-10-24 11:07:39","2024-10-20T12:40:27+03:00",""
"Lvs31426","INVENTORY","Nermin ","ملغي لعدم وجود القطع","2024-10-24 10:19:20","2024-10-22T19:43:05+03:00",""
"Lvs31648","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-24 10:07:25","2024-10-24T04:51:59+03:00",""
"Lvs31680","INVENTORY","Nermin ","ملغي","2024-10-24 10:05:44","2024-10-24T08:56:08+03:00",""
"Lvs31669","CUSTOMER_REQUEST","Fatma","ملغي علي الميل","2024-10-24 10:00:34","2024-10-24T07:27:39+03:00",""
"Lvs31501","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-24 09:32:37","2024-10-23T03:41:10+03:00",""
"Lvs31707","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-24 09:31:32","2024-10-24T11:32:10+03:00",""
"Lvs31375","INVENTORY","Nermin ","ملغي مش عايزة بديل","2024-10-24 07:59:41","2024-10-22T16:41:30+03:00",""
"Lvs31569","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-24 07:53:47","2024-10-23T15:43:30+03:00",""
"Lvs31544","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-24 06:58:33","2024-10-23T13:16:13+03:00",""
"Lvs31416","OTHER","Mostafa","ملغي","2024-10-23 15:14:00","2024-10-22T19:13:58+03:00",""
"Lvs31483","INVENTORY","Noor","نواقص محتاجه الاوردر كامل","2024-10-23 14:44:33","2024-10-22T23:33:30+03:00",""
"Lvs27950","REPEATED_ORDER","Nermin ","ملغي مكرر","2024-10-23 14:18:50","2024-10-07T19:55:50+03:00",""
"Lvs31500","INVENTORY","Nermin ","ملغي لعدم وجود القطع","2024-10-23 14:09:17","2024-10-23T02:40:40+03:00",""
"Lvs31435","CUSTOMER_REQUEST","Noor","بلغت على اليميل نلغى الاوردر","2024-10-23 13:57:33","2024-10-22T20:20:30+03:00",""
"Lvs31479","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-23 13:54:43","2024-10-22T23:00:26+03:00",""
"Lvs31516","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-23 13:47:31","2024-10-23T10:14:36+03:00",""
"Lvs31463","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-23 13:43:11","2024-10-22T21:46:14+03:00",""
"Lvs31526","REPEATED_ORDER","Samar","العميله طلبت الغاء الاوردر","2024-10-23 13:12:34","2024-10-23T11:51:09+03:00",""
"Lvs31515","INVENTORY","Noor","نواقص القطع غير متاحة","2024-10-23 12:58:50","2024-10-23T10:10:24+03:00",""
"Lvs31471","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-23 12:58:25","2024-10-22T22:24:48+03:00",""
"Lvs31522","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-23 12:54:17","2024-10-23T11:24:56+03:00",""
"Lvs31511","INVENTORY","Noor","نواقص القطعة غير متاحة","2024-10-23 12:43:41","2024-10-23T09:16:46+03:00",""
"Lvs31521","INVENTORY","Noor","نواقص القطع غير متاحة","2024-10-23 12:39:01","2024-10-23T11:12:29+03:00",""
"Lvs31456","CUSTOMER_REQUEST","Yara","طلب العميلة","2024-10-23 12:34:31","2024-10-22T21:29:22+03:00",""
"Lvs31523","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-23 12:29:15","2024-10-23T11:33:30+03:00",""
"Lvs31552","INVENTORY","Noor","نواقص القطعة غير متاحة","2024-10-23 12:24:58","2024-10-23T14:36:00+03:00",""
"Lvs31449","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-23 12:19:51","2024-10-22T21:02:53+03:00",""
"Lvs31332","INVENTORY","Noor","نواقص القطع غير متاحة","2024-10-23 12:19:03","2024-10-22T13:45:59+03:00",""
"Lvs31472","INVENTORY","Noor","نواقص القطعة غير متاحة","2024-10-23 11:41:29","2024-10-22T22:30:43+03:00",""
"Lvs31432","BROUGHT_FROM_STORE","Yara","هتروح الفرع","2024-10-23 11:34:29","2024-10-22T19:59:03+03:00",""
"Lvs31324","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-23 11:19:15","2024-10-22T12:53:07+03:00",""
"Lvs31384","CUSTOMER_REQUEST","Samar","العميله طلبت الغاء الاوردر","2024-10-23 11:17:35","2024-10-22T17:18:53+03:00",""
"Lvs31400","INVENTORY","Nermin ","ملغي مش عايزة البديل","2024-10-23 11:00:54","2024-10-22T18:44:05+03:00",""
"Lvs31433","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش عايزة بدايل","2024-10-23 10:51:51","2024-10-22T20:00:38+03:00",""
"Lvs31359","INVENTORY","Noor","نواقص القطعة غير متاحة","2024-10-23 10:51:15","2024-10-22T15:38:43+03:00",""
"Lvs31239","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-23 09:27:30","2024-10-21T21:25:54+03:00",""
"Lvs29799","REPEATED_ORDER","Nermin ","ملغي مكرر","2024-10-23 09:25:28","2024-10-15T00:31:16+03:00",""
"Lvs31347","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-23 09:20:04","2024-10-22T15:18:40+03:00",""
"Lvs31371","INVENTORY","Noor","نواقص القطعة غير متاحة","2024-10-23 09:18:14","2024-10-22T16:14:39+03:00",""
"Lvs31364","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-23 09:10:15","2024-10-22T15:57:11+03:00",""
"Lvs31343","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-23 09:07:40","2024-10-22T14:59:51+03:00",""
"Lvs31290","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-23 08:28:05","2024-10-22T08:38:04+03:00",""
"Lvs31233","INVENTORY","Nermin ","ملغي مكرر ومش عايزة الوان بديله","2024-10-23 07:11:10","2024-10-21T20:40:37+03:00",""
"Lvs31268","INVENTORY","Nermin ","ملغي لما تتوفر هتعمل اوردر جديد","2024-10-23 07:03:59","2024-10-22T03:09:31+03:00",""
"Lvs31268","INVENTORY","Nermin ","ملغي لما تتوفر هتعمل اوردر جديد","2024-10-23 07:03:58","2024-10-22T03:09:31+03:00",""
"Lvs29593","INVENTORY","Randa","طلب العميلة بالالغاء","2024-10-22 14:38:49","2024-10-13T23:57:50+03:00",""
"Lvs31258","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-22 14:11:38","2024-10-22T00:48:56+03:00",""
"Lvs31280","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-22 14:10:05","2024-10-22T05:03:32+03:00",""
"Lvs31221","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-22 13:59:18","2024-10-21T18:14:13+03:00",""
"Lvs31215","BROUGHT_FROM_STORE","Nermin ","ملغي لعدم وجود القطعة هتشتري من الفر ع","2024-10-22 13:53:12","2024-10-21T17:50:48+03:00",""
"Lvs31139","INVENTORY","Samar","العميله طلبت الغاء الاوردر","2024-10-22 12:54:22","2024-10-21T01:46:34+03:00",""
"Lvs31169","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-22 11:46:58","2024-10-21T11:22:26+03:00",""
"Lvs31269","INVENTORY","Nermin ","ملغي لعدم وجود القطعة ومش حابة نشحن من غيرها لان سعر الشحن غالي","2024-10-22 11:42:34","2024-10-22T03:17:53+03:00",""
"Lvs31171","OTHER","Nermin ","ملغي لعدم وجود رد","2024-10-22 11:41:05","2024-10-21T11:43:07+03:00",""
"Lvs31305","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-22 11:34:27","2024-10-22T10:30:33+03:00",""
"Lvs30844","INVENTORY","Randa","طلب العميلة بالالغاء","2024-10-22 11:24:10","2024-10-19T14:26:07+03:00",""
"Lvs30878","INVENTORY","Randa","طلب العميلة بالالغاء","2024-10-22 11:21:56","2024-10-19T16:35:18+03:00",""
"Lvs31247","INVENTORY","Nermin ","عايزة الاسود ومش عايزة تختار بديل ملغي","2024-10-22 11:17:55","2024-10-21T22:52:48+03:00",""
"Lvs31267","INVENTORY","Nermin ","ملغي عايزة نفس اللون","2024-10-22 11:14:56","2024-10-22T03:00:54+03:00",""
"Lvs31263","BROUGHT_FROM_STORE","Nermin ","ملغي  هتشتري من فرع المنصورة","2024-10-22 11:03:37","2024-10-22T01:56:16+03:00",""
"Lvs31230","INVENTORY","Nermin ","ملغي القطعة مش متاحة","2024-10-22 10:54:07","2024-10-21T20:18:31+03:00",""
"Lvs31220","INVENTORY","Nermin ","ملغي مش عايزة بدايل","2024-10-22 10:32:19","2024-10-21T18:14:08+03:00",""
"Lvs26496","INVENTORY","Fatma","ملغي","2024-10-22 10:09:57","2024-10-03T22:12:54+03:00",""
"Lvs26094","INVENTORY","Fatma","ملغي","2024-10-22 10:08:06","2024-10-02T22:47:58+03:00",""
"Lvs31208","INVENTORY","Nermin ","ملغي مش عايزة بديل","2024-10-22 09:53:59","2024-10-21T17:00:30+03:00",""
"Lvs31207","INVENTORY","Nermin ","ملغي عايزة نفس اللون","2024-10-22 09:51:19","2024-10-21T16:59:43+03:00",""
"Lvs31231","INVENTORY","Nermin ","ملغي مش عايزة الوزان تانية","2024-10-22 09:37:15","2024-10-21T20:20:35+03:00",""
"Lvs31069","INVENTORY","Nermin ","ملغي لعدم وجود رد","2024-10-22 09:34:52","2024-10-20T17:23:39+03:00",""
"Lvs31098","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2024-10-22 09:14:45","2024-10-20T21:03:49+03:00",""
"Lvs30829","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","2024-10-22 08:59:11","2024-10-19T13:20:55+03:00",""
